1,2
2,2
3,3
4,4
5,1
6,0
7,1
8,0
9,1
10,0
11,1
12,6
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,1
21,0
22,1
23,1
24,1
25,1
26,1
27,1
28,2
29,1
30,3
31,1
32,1
33,1
34,2
35,10
36,1
37,1
38,1
39,0
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,2
55,2
56,2
57,1
58,1
59,1
60,0
61,1
62,1
63,0
64,1
65,1
66,0
67,1
68,1
69,0
70,1
71,1
72,0
73,1
74,1
75,1
76,2
77,1
78,2
79,1
80,2
81,1
82,2
83,1
84,2
85,1
86,2
87,1
88,2
89,1
90,2
91,1
92,2
93,2
94,1
95,2
96,1
97,2
98,2
99,1
100,2
101,2
102,2
103,2
104,2
105,2
106,1
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,3
116,5
117,5
118,5
119,4
120,3
121,4
122,3
123,3
124,2
125,3
126,2
127,2
128,2
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,2
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,2
153,1
154,1
155,2
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,2
164,1
165,2
166,1
167,2
168,2
169,2
170,1
171,1
172,1
173,2
174,1
175,1
176,2
177,2
178,1
179,1
180,2
181,1
182,1
183,2
184,1
185,1
186,1
187,1
188,2
189,2
190,1
191,2
192,1
193,2
194,1
195,2
196,4
197,3
198,3
199,3
200,4
201,3
202,4
203,3
204,3
205,3
206,3
207,4
208,3
209,3
210,4
211,3
212,3
213,3
214,3
215,3
216,3
217,4
218,3
219,1
220,2
221,2
222,1
223,2
224,2
225,2
226,1
227,2
228,2
229,2
230,1
231,2
232,2
233,2
234,3
235,2
236,2
237,2
238,2
239,2
240,2
241,1
242,2
243,1
244,2
245,2
246,2
247,2
248,2
249,1
250,2
251,2
252,2
253,2
254,2
255,2
256,2
257,2
258,2
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,3
268,2
269,2
